feature,importance_reg,importance_cls,importance_mean
yield_slope,0.1338168,0.108799696,0.121308245
cpi,0.15852858,0.074841365,0.11668497
repo_rate,0.08604865,0.08300795,0.0845283
dii_flow_cr_qtly,0.09913776,0.067060195,0.08309898
beta_static,0.09552439,0.06430854,0.07991646
fii_flow_cr_qtly,0.0708789,0.06585604,0.06836747
fii_dii_ratio,0.03650652,0.07045172,0.05347912
rolling_sharpe_8q,0.04405851,0.04610029,0.0450794
rolling_sharpe_4q,0.031197721,0.04286922,0.037033472
rolling_beta,0.03455636,0.03771173,0.03613404
gross_alpha_q,0.023413941,0.03478567,0.029099805
alpha_persistence,0.022707282,0.035296757,0.029002018
net_alpha_q,0.021820342,0.035196446,0.028508395
manager_tenure_yrs,0.020587057,0.035814673,0.028200865
expense_gap,0.01877519,0.036060594,0.02741789
portfolio_turnover,0.022472143,0.03172095,0.027096547
aum_log,0.020728597,0.032986917,0.026857756
information_ratio_4q,0.021348244,0.032278743,0.026813492
regular_er,0.019351006,0.0340766,0.026713803
direct_er,0.018542046,0.030775875,0.02465896
